!\EXCLAMATION-POINT	%Ekskl@"meIS@n%pOInt
"CLOSE-QUOTE	"kloUz"kwoUt
DUDECK'S	"du:dEks
DUDEK	"du:dIk
DUDEN	"du:d@n
DUDENHOEFFER	"dVdInhoUfE`
DUDES	d"ju:dz
DUDGEON	"dVdZ@n
DUDIK	"du:dIk
DUDLEY	"dVdli
DUDMAN	"dVdm@n
DUDNEY	"dVdni
DUDS	"dVdz
DUDZIAK	"dVdZi:{k
DUDZIK	"dVdzIk
DUDZINSKI	d@"dZInski
DUE	"du:, d"ju:
DUECKER	"du:kE`
DUEITT	"du:@t
DUEKER	"du:kE`
DUEL	"du:@l
DUELED	"du:@ld
DUELING	"du:lIN
DUELIST	"du:@lIst
DUELL	"dZu:l, "du:l
DUELS	"du:@lz
DUENA	du:"En@, "dweInj@
DUENAS	du:"En@s, "dweInj@s
DUENEZ	dwE"nEz
DUENOW	"du:noU
DUENSING	"dUnsIN
DUER	"du:E`
DUERKSEN	"dUrks@n
DUERR	"dUr
DUERSON	"dUrs@n
DUERST	"dUrst
DUES	"du:z
DUESBERG	"du:zbE`g
DUESING	"du:sIN
DUESLER	"du:s@lE`, "du:slE`
DUESSELDORF	"du:s@l%dOrf
DUET	du:"Et, dju:"Et
DUETS	du:"Ets, dju:"Ets
DUEY	"du:i, d"ju:i
DUFAULT	d@"foU
DUFEK	"du:fIk
DUFF	"dVf
DUFFALA	d@"f{l@
DUFFEE	"dVfi
DUFFEK	"dVfIk
DUFFEL	"dVf@l
DUFFELL	"dVf@l
DUFFER	"dVfE`
DUFFETT	"dVfIt
DUFFEY	"dVfi
DUFFIE	"dVfi
DUFFIELD	"dV%fi:ld
DUFFIN	"dVfIn
DUFFNER	"dVfnE`
DUFFORD	"dVfE`d
DUFFOUR	"dVfOr
DUFFUS	"dVf@s
DUFFY	"dVfi
DUFFY'S	"dVfi:z
DUFNER	"dVfnE`
DUFORD	"dVfE`d
DUFORT	"dVfE`t
DUFOUR	d@"fUr
DUFRANE	d@"freIn
DUFRENE	d@"fri:n
DUFRESNE	d@"frEn
DUFUR	d@"fE`:
DUG	"dVg
DUGAL	"du:dZ@l
DUGALD	"dVg@ld
DUGAN	"dVg@n
DUGAR	"du:gE`
DUGAS	"du:g@z
DUGDALE	"dVg%deIl
DUGGAN	"dVg@n
DUGGAR	"dVgE`
DUGGER	"dVgE`
DUGGIN	"dVgIn
DUGGINS	"dVgInz
DUGO	"du:goU
DUGOUT	"dV%gaUt
DUGOUTS	"dV%gaUts
DUGUAY	"dVgeI
DUGUID	"dVgwId
DUH	"dV
DUHAIME	"du:aIm
DUHAMEL	%du:"h{m@l
DUHART	"dVhA:rt
DUHE	"du:h
DUHON	"du:h@n
DUHR	"dE`:
DUI	"di:"ju:"aI
DUIGNAN	dIg"n{n
DUIS	"du:Iz, "di:"ju:"aIz
DUISBURG	"du:sbE`g
DUITSMAN	"du:tsm@n
DUK	"dVk
DUKAKIS	du:"kA:kIs
DUKAKIS'	du:"kA:kIs, du:"kA:kIsIz
DUKAKIS'S	du:"kA:kIsIz
DUKAKISES	du:"kA:kIsIz
DUKART	"dVkA:rt
DUKE	"du:k
DUKE'S	"du:ks
DUKED	"du:kt
DUKEDOM	"du:kd@m
DUKEMAN	"du:km@n
DUKER	"du:kE`
DUKES	"du:ks
DUKING	"du:kIN
DULA	"du:l@
DULAC	d@"l{k
DULAK	"du:l@k
DULANEY	d"ju:l@ni
DULANY	dju:"lOni
DULAY	d"ju:leI
DULCE	"dVls
DULCEA	"dVlsi:@
DULCET	"dVlsEt
DULCIANA	du:l"tS{n@
DULCIBELLE	"dVlsIb@l
DULCIE	"dVlki
DULCIMER	"dVlsImE`
DULCINE	"dVlsIn
DULCINEA	%d@lsI"ni:@
DULE	"du:l
DULEY	d"ju:li
DULIN	"du:lIn
DULING	d"ju:lIN
DULL	"dVl
DULLE	"dVl
DULLEA	"dVli:@
DULLED	"dVld
DULLER	"dVlE`
DULLES	"dVl@s
DULLEST	"dVl@st
DULLING	"dVlIN
DULLNESS	"dVln@s
DULMAGE	"dVlm@dZ
DULONG	d"ju:lON
DULSKI	"dVlski
DULUDE	d"ju:%lu:d
DULUTH	d@"lu:T
DULWICH	"dVl%wItS
DULWORTH	"dVlwE`T
DULY	"du:li
DUM	"dVm
DUMA	"du:m@
DUMA'S	"du:m@z
DUMAINE	d@"meIn
DUMAIS	d@"meI
DUMAN	"du:m@n
DUMAS	"du:m@z, %du:"mA:
DUMB	"dVm
DUMB-ASS	"dV%m{s
DUMBASS	"dV%m{s
DUMBBELL	"dVm%bEl
DUMBBELLS	"dVm%bElz
DUMBER	"dVmE`
DUMBEST	"dVm@st
DUMBFOUND	"dVmfaUnd
DUMBFOUNDED	"dVmfaUndId
DUMBFOUNDING	"dVmfaUndIN
DUMBFOUNDS	"dVmfaUndz
DUMBING	"dVmIN
DUMBLEDORE	"dVmb@l%dOr
DUMBO	"dVmboU
DUMBSTRUCK	"dVm%str@k
DUMENIL	"du:m@%nIl
DUMEZ	"du:mEz
DUMFORD	"dVmfE`d
DUMIRE	du:"mIreI
DUMKE	"dVmki
DUMLAO	"du:mlaU
DUMLER	"dVmlE`
DUMM	"dVm
DUMMER	"dVmE`
DUMMIES	"dVmi:z
DUMMITT	"dVmIt
DUMMY	"dVmi
DUMOND	d@"mA:nd
DUMONT	du:"mA:nt
DUMOULIN	"dVmu:l{n
DUMP	"dVmp
DUMPED	"dVmpt
DUMPER	"dVmpE`
DUMPING	"dVmpIN
DUMPLING	"dVmplIN
DUMPLINGS	"dVmplINz
DUMPS	"dVmps
DUMPSTER	"dVmpstE`
DUMPSTERS	"dVmpstE`z
DUMPTRUCK	"dVmp%tr@k
DUMPTRUCKS	"dVmp%tr@ks
DUMPTY	"dVmpti
DUMPY	"dVmpi
DUN	"dVn
DUN'S	"dVnz
DUNA	"du:n@
DUNAGAN	du:"nA:gA:n
DUNAHOO	du:"nA:hu:
DUNAJ	"du:n@dZ
DUNAVAN	"dVn@%v{n
DUNAVANT	du:"nA:v@nt
DUNAWAY	"dVn@%weI
DUNAY	"dVneI
DUNBAR	"dVnbA:r
DUNBLANE	"dVn%bleIn
DUNC	"dVNk
DUNCAN	"dVNk@n
DUNCANSON	"dVNk@ns@n
DUNCKEL	"dVNk@l
DUNCOMBE	"dVNk@m
DUNDAS	"dVnd@z
DUNDEE	d@n"di:
DUNDON	"dVnd@n
DUNDORE	"dVndE`
DUNE	"du:n
DUNEDIN	"du:n@dIn
DUNEGAN	"dVnIg{n
DUNES	"du:nz
DUNFEE	"dVn%fi:
DUNFORD	"dVnfE`d
DUNG	"dVN
DUNGAN	"dVNg@n
DUNGEON	"dVndZ@n
DUNGEONS	"dVndZ@nz
DUNGEY	"dVndZi
DUNHAM	"dVn@m
DUNHILL	"dVn%hIl
DUNIGAN	"dVnIg{n
DUNITE	du:"naIt
DUNIVAN	"dVnIv{n
DUNJA	"du:nj@, "dVndZ@
DUNK	"dVNk
DUNKED	"dVNkt
DUNKEL	"dVNk@l
DUNKELBERG	"dVNk@lbE`g
DUNKELBERGER	"dVNk@lbE`gE`
DUNKER	"dVNkE`
DUNKERLEY	"dVNkE`li
DUNKIN	"dVNkIn
DUNKIN'	"dVNkIn
DUNKIRK	"dVnkE`k
DUNKLE	"dVNk@l
DUNKLEBERGER	"dVNk@lbE`gE`
DUNKLEE	"dVN%kli:
DUNKLEY	"dVNkli
DUNKLIN	"dVNklIn
DUNKS	"dVNks
DUNLAEVY	d@n"leIvi
DUNLAP	"dVnl{p
DUNLAVEY	d@nl@"veI
DUNLAVY	"dVnl@vi
DUNLAY	"dVn%leI
DUNLEAVY	"du:nl@vi
DUNLEVY	"du:nlIvi
DUNLEY	"dVnli
DUNLOP	"dVn%lA:p
DUNMAN	"dVnm@n
DUNMIRE	du:n"mIreI
DUNN	"dVn
DUNNAGAN	"dVn@g{n
DUNNAM	"dVn@m
DUNNAVANT	"dVn@v@nt
DUNNAWAY	"dVn@weI
DUNNE	"dVn
DUNNED	"dVnd
DUNNELL	"dVn@l
DUNNETT	"dVnIt
DUNNIGAN	"dVnIg@n
DUNNING	"dVnIN
DUNNINGTON	"dVnINt@n
DUNNO	d@"noU
DUNPHY	"dVnfi
DUNS	"dVnz
DUNSHEE	"dVnSi
DUNSMOOR	"dVnz%mUr
DUNSMORE	"dVnsmOr
DUNSON	"dVns@n
DUNST	"dVnst
DUNSTAN	"dVnst@n
DUNSTER	"dVnstE`
DUNSTON	"dVnst@n
DUNSWORTH	"dVnz%wE`:T
DUNTON	"dVnt@n
DUNWOODY	"dVn%wUdi
DUNWORTH	"dVn%wE`:T
DUO	"du:oU
DUODENAL	"du:@"di:n@l, du:"A:d@n@l
DUODENUM	du:"A:d@n@m
DUONG	"du:oUN
DUOPOLY	"du:oU%pA:li, dju:"A:p@li
DUPAY	du:"peI
DUPE	"du:p
DUPED	"du:pt
DUPEE	"du:"pi:
DUPER	"du:pE`
DUPES	"du:ps
DUPIN	d@"p{n
DUPLANTIS	d@"pl{ntIs
DUPLECHAIN	"du:plISeIn
DUPLECHIN	"du:plIkIn
DUPLER	"du:p@lE`, "du:plE`
DUPLESSIS	"du:plIsIs
DUPLEX	"du:%plEks
DUPLICATE	"du:pl@k@t, "du:pl@%keIt
DUPLICATED	"du:plI%keItId, d"ju:pl@%keItId
DUPLICATES	d"ju:pl@%keIts
DUPLICATING	"du:plI%keItIN
DUPLICATION	d%ju:pl@"keIS@n
DUPLICATIONS	%du:plI"keIS@nz
DUPLICATIVE	du:"plIk@tIv
DUPLICITOUS	du:"plIsIt@s
DUPLICITY	du:"plIsIti
DUPONT	"du:pA:nt
DUPONT'S	"du:pA:nts
DUPRAS	d@"prA:z
DUPRE	"dVpreI
DUPREE	d@"pri:
DUPREY	"dVpreI
DUPRIEST	%du:"pri:st
DUPUIS	d@p"wi:
DUPUY	d@p"wi:
DUQUE	"du:k
DUQUESNE	du:"keIn
DUQUESNE'S	du:"keInz
DUQUETTE	d@"kEt
DURA	"dUr@
DURABILITY	dE`@"bIlIti
DURABLE	"dUr@b@l
DURABLES	"dUr@b@lz
DURACELL	"dUr@%sEl
DURAKON	"dUr@kIn
DURALL	d"ju:r@l
DURAMED	"dUr@%mEd
DURAN	dE`"{n
DURAN'S	dE`"{ns
DURAND	dU"rA:nd
DURANDO	dU"rA:ndoU
DURANG	dE`"{N
DURANGO	dE`"{NgoU
DURANT	"dUr@nt
DURANT'S	dE`"{nts
DURANTE	dU"rA:nti
DURATION	"dU"reIS@n
DURATIONS	"dU"reIS@nz
DURAY	"dUreI
DURAZO	dU"rA:zoU
DURBAN	"dE`:b@n
DURBEN	"dE`:b@n
DURBIN	"dE`:bIn
DURCH	"dE`:tS
DURCHHOLZ	"dE`:%tSoUlts
DURDEN	"dE`:d@n
DURDIN	"dE`:dIn
DUREE	"dU"ri:
DURELL	d"ju:r@l
DUREN	"dUr@n
DURENBERGER	"dUr@nbE`gE`
DURENE	d"ju:ri:n
DURER	"dUrE`
DURESS	"dUrEs
DURETTE	dE`"Et
DURFEE	"dE`:fi
DURFEY	"dE`:fi
DURFLINGER	"dE`:f@lINE`, "dE`:flINE`
DURGAN	"dE`:g@n
DURGIN	"dE`:dZIn
DURHAM	"dE`:@m, "dUr"h{m, "dUr@m
DURI	"dUri
DURICK	d"ju:rIk
DURIE	"dUri
DURING	"dUrIN, d"jUrIN, "dE`:IN
DURIO	"dUri:oU
DURIRON	du:"rIr@n
DURIS	d"ju:rIs
DURKEE	"dE`:ki
DURKHEIM	"dE`:k%haIm
DURKHEIM'S	"dE`:k%haImz
DURKIN	"dE`:kIn
DURLAND	"dE`:l@nd
DURLEY	"dE`:li
DURLING	"dE`:lIN
DURN	"dE`:n
DURNELL	"dE`:n@l
DURNEY	"dE`:ni
DURNIL	"dE`:n@l
DURNIN	"dE`:nIn
DURNING	"dE`:nIN
DURO	"dU%roU
DUROCHER	d"ju:r@kE`
DURON	d"ju:r@n
DUROSS	d"ju:r@s
DURR	"dE`:
DURRAH	"dUr@
DURRANCE	"dUr@ns
DURRANT	dU"r{nt
DURRELL	"dUr@l
DURRENCE	"dUr@ns
DURRETT	"dUrIt
DURSO	"dUrsoU
DURST	"dE`:st
DURUM	"dUr@m
DURWARD	"dE`:wE`d
DURWIN	"dE`:wIn
DURY	"dUri
DURYEA	dU"ri:@
DURYEE	dU"ri:
DUSCH	"dVS, "dVtS
DUSEK	"du:sEk
DUSENBERRY	"du:s@nbEri
DUSENBERY	d@"sEnbE`i
DUSENBURY	"du:s@nbEri
DUSETT	"du:s@t
DUSH	"dVS, "du:S
DUSHANE	%du:"SeIn
DUSHYANTH	%du:Si:"A:nT
DUSING	"du:sIN
DUSK	"dVsk
DUSKIN	"dVskIn
DUSSAULT	d@"soU
DUSSEAU	d@"soU
DUSSEAULT	d@"soU
DUSSELDORF	"du:s@l%dOrf
DUST	"dVst
DUSTBIN	"dVstbIn
DUSTED	"dVstId
DUSTER	"dVstE`
DUSTERS	"dVstE`z
DUSTIN	"dVstIn
DUSTING	"dVstIN
DUSTMAN	"dVstm@n
DUSTON	"dVst@n
DUSTS	"dVsts
DUSTY	"dVsti
DUSZA	"dVS@
DUSZYNSKI	d@"SInski
DUTCH	"dVtS
DUTCHER	"dVtSE`
DUTCHMAN	"dVtSm@n
DUTHIE	"dVTi
DUTIES	"du:ti:z
DUTIFUL	"du:ti:f@l
DUTIFULLY	"du:ti:f@li
DUTIL	d@"tIl
DUTKA	"dVtk@
DUTKIEWICZ	"dVtk@vItS
DUTKO	"dVtkoU
DUTOIT	du:"tOIt
DUTRA	"du:tr@
DUTRO	"dVtroU
DUTROW	"dVtroU
DUTSON	"dVts@n
DUTT	"dVt
DUTTER	"dVtE`
DUTTON	"dVt@n
DUTY	"du:ti, d"ju:ti
DUVA	"du:v@
DUVAL	du:"v{l
DUVALIER	du:"v{ljE`
DUVALIERS	du:"veIljE`z
DUVALL	du:"vA:l
DUVE	"du:v
DUVERNAY	d@"vE`:neI
DUVREES	du:v"ri:z
DUWAYNE	du:"weIn
DUWE	"du:w
DUX	"dVks
DUZAN	"du:z@n
DVD	%di:%vi:"di:
DVDS	%di:%vi:"di:z
DVORACEK	d"vOr@tSEk
DVORAK	d"vOr@k
DVORSKY	d"vOrski
DWAN	"dwA:n
DWANA	"dwA:n@
DWARF	"dwOrf
DWARFED	"dwOrft
DWARFING	"dwOrfIN
DWARFISM	"dwOrfIz@m
DWARFS	"dwOrfs
DWARVES	"dwOrvz
DWAYNE	"dweIn
DWECK	"dwEk
DWEEB	"dwi:b
DWELL	"dwEl
DWELLE	"dwEl
DWELLED	"dwEld
DWELLER	"dwElE`
DWELLERS	"dwElE`z
DWELLEY	"dwEli
DWELLING	"dwElIN
DWELLINGS	"dwElINz
DWELLS	"dwElz
DWELT	"dwElt
DWI	"di:"dVb@l"ju:"aI, "di:"dVb@"ju:"aI
DWIGGINS	"dwIgInz
DWIGHT	"dwaIt
DWINDLE	"dwInd@l
DWINDLED	"dwInd@ld
DWINDLES	"dwInd@lz
DWINDLING	"dwInd@lIN, "dwIndlIN
DWINELL	"dwIn@l
DWIRE	"dwaIr
DWIVEDI	dwI"vEdi
DWORAK	"dwO%r{k
DWORIN	"dwOrIn
DWORKIN	"dwOrkIn
DWORSKY	"dwE`:ski
DWYER	"dwaIE`
DYAD	"daI%{d
DYAL	"daI@l
DYAN	daI"{n
DYANA	daI"{n@
DYANE	daI"{n
DYANSEN	"daI@ns@n
DYAR	"daIE`
DYAS	"daI@s
DYATRON	"daI@tr@n
DYAZIDE	"daI@%zaId
DYBAS	"daIb@z
DYCE	"daIs
DYCHE	"daItS
DYCHES	"daItSIz
DYCK	"daIk
DYCKMAN	"dIkm@n
DYCO	"daIkoU
DYCUS	"daIk@s
DYE	"daI
DYED	"daId
DYEING	"daIIN
DYER	"daIE`
DYES	"daIz
DYESS	"daI@s
DYESTUFF	"daI%st@f
DYESTUFFS	"daI%st@fs
DYGERT	"dIgE`t
DYING	"daIIN
DYK	"dIk
DYKAS	"daIk@z
DYKE	"daIk
DYKEMAN	"daIkm@n
DYKES	"daIks
DYKHOUSE	"dIk%haUs
DYKMAN	"dIkm@n
DYKSTRA	"daIkstr@
DYLAN	"dIl@n
DYLAN'S	"dIl@nz
DYLANS	"dIl@nz
DYLEWSKI	dI"lEfski
DYLEX	"daIl@ks
DYLOPTISAURUS	%dIlA:pt@"sA:r@s
DYMALLY	"dIm@li
DYMEK	"dImEk
DYMENT	"dIm@nt
DYMOND	"daIm@nd
DYNAFAC	"daIn@%f{k
DYNALECTRIC	"daIn@%lEktrIk
DYNALECTRON	"daIn@%lEktr@n
DYNAMIC	daI"n{mIk
DYNAMICS	daI"n{mIks
DYNAMICS'	dI"n{mIks, daI"n{mIks
DYNAMICS'S	daI"n{mIksIz
DYNAMISM	"daIn@%mIz@m
DYNAMITE	"daIn@%maIt
DYNAMO	"daIn@%moU
DYNAMOMETER	%daIn@"mA:m@tE`
DYNAPAC	"daIn@%p{k
DYNASCAN	"daIn@%sk{n
DYNASTIC	daI"n{stIk
DYNASTIES	"daIn@sti:z
DYNASTY	"daIn@sti
DYNATECH	"dIn@%tEk
DYNCORP	"dIn%kOrp, "daIn%kOrp
DYNEER	dI"nIr, daI"nIr
DYNES	"daInz
DYSAN	"daIs@n
DYSART	"dIsE`t
DYSENTERY	"dIs@n%tEri
DYSERT	"dIsE`t
DYSFUNCTION	dIs"fVNkS@n
DYSFUNCTIONAL	dIs"fVNkS@n@l
DYSFUNCTIONS	dIs"fVNkS@nz
DYSINGER	"dIsIndZE`
DYSLEXIA	dI"slEksi:@
DYSLEXIC	dI"slEksIk
DYSON	"daIs@n
DYSPEPTIC	%dI"spEptIk
DYSPHORIC	%dIs"fOrIk
DYSPLASIA	%dI"spleIZ@
DYSPNEA	%dIsp"ni:@
DYSTROPHIN	"dIstr@fIn
DYSTROPHY	"dIstr@fi
DZERZHINSK	dZE`"zInsk
DZHAMBUL	dZ{m"bu:l
DZHIRKVELOV	%dZE`:k"vElOv
DZHOKHAR	%dZoU"kA:r
DZHOKHAR'S	%dZoU"kA:rz
DZIAK	d%zi:"A:k
DZIALO	dZi:"A:loU
DZIEDZIC	"dZi:dZIk
DZIEKAN	"dZi:k@n
DZIK	d"zIk
DZIKOWSKI	dZI"kOf%ski:
DZIUBA	dZi:"u:b@
DZIUK	dZi:"u:k
DZOKHAR	%dZoU"kA:r
D_C	"di:"si:
DÉJÀ	%deI"dZA:
E	"i:
E'S	"i:z
E-MAIL	"i:%meIl
E-MAILED	"i:%meIld
E-MAILING	"i:%meIlIN
E-MAILS	"i:%meIlz
E.	"i:
E.'S	"i:z
E.S	"i:z
EACH	"i:tS
EACHAN	"i:tS@n
EACHUS	"i:tS@s
EADDY	"i:di
EADE	"i:d
EADER	"i:dE`
EADES	"i:dz
EADIE	"Edi
EADS	"i:dz
EADS'	"i:dz
EADY	"i:di
EAGAN	"i:g@n
EAGAR	"i:gE`
EAGEN	"i:g@n
EAGER	"i:gE`
EAGERLY	"i:gE`li
EAGERNESS	"i:gE`n@s
EAGLE	"i:g@l
EAGLE'S	"i:g@lz
EAGLEBURGER	"i:g@lbE`gE`
EAGLES	"i:g@lz
EAGLESON	"i:g@ls@n
EAGLETON	"i:g@lt@n
EAGLEYE	"i:g@%laI
EAGLIN	"i:glIn
EAGON	"i:g@n
EAKEN	"i:k@n
EAKER	"i:kE`
EAKES	"i:ks
EAKIN	"i:kIn
EAKINS	"i:kInz
EAKLE	"i:k@l
EALES	"i:lz
EALEY	"i:li
EALING	"i:lIN
EALY	"i:li
EAMER	"i:mE`
EAMES	"i:mz
EAMON	"i:m@n
EANES	"i:nz
EAP	"i:"eI"pi:, "i:p
EAPPEN	"i:p@n
EAR	"i:r, "Ir
EARDLEY	"Irdli, "E`:dli
EARED	"Ird
EARFUL	"i:r%f@l
EARFULL	"i:r%f@l
EARGLE	"Irg@l
EARHART	"IrhA:rt, "ErhA:rt
EARL	"E`:l
EARL'S	"E`:lz
EARLDOM	"E`:ld@m
EARLE	"E`:l
EARLENE	"E`:li:n
EARLES	"E`:lz
EARLESS	"Irl@s, "i:rl@s
EARLEY	"E`:li
EARLIE	"E`:li
EARLIER	"E`:li:E`
EARLIER'S	"E`:li:E`z
EARLIEST	"E`:li:@st
EARLINE	"E`:laIn
EARLL	"E`:l
EARLS	"E`:lz
EARLY	"E`:li
EARLYWINE	"E`:li:%waIn
EARMARK	"Ir%mA:rk, "i:r%mA:rk
EARMARKED	"Ir%mA:rkt, "i:r%mA:rkt
EARMARKING	"Ir%mA:rkIN, "i:r%mA:rkIN
EARMARKS	"Ir%mA:rks, "i:r%mA:rks
EARMUFF	"Ir%m@f, "i:r%m@f
EARMUFFS	"Ir%m@fs, "i:r%m@fs
EARN	"E`:n
EARNED	"E`:nd
EARNER	"E`:nE`
EARNERS	"E`:nE`z
EARNEST	"E`:nIst
EARNESTLY	"E`:n@stli
EARNESTNESS	"E`:n@stn@s
EARNEY	"E`:ni
EARNHARDT	"E`:n%hA:rt
EARNHART	"E`:n%hA:rt
EARNHEART	"E`:n%hA:rt
EARNING	"E`:nIN
EARNINGS	"E`:nINz
EARNINGS'	"E`:nINz
EARNS	"E`:nz
EARNSHAW	"E`:n%SO
EARP	"E`:p
EARPHONE	"Ir%foUn, "i:r%foUn
EARPHONES	"Ir%foUnz, "i:r%foUnz
EARPIECE	"Irpi:s, "i:rpi:s
EARPIECES	"Irpi:sIz, "i:rpi:sIz
EARPLUG	"Ir%pl@g, "i:r%pl@g
EARPLUGS	"Ir%pl@gz, "i:r%pl@gz
EARRING	"IrIN, "i:rIN
EARRINGS	"IrINz, "i:rINz
EARS	"Irz, "i:rz
EARSHOT	"Ir%SA:t, "i:r%SA:t
EARTH	"E`:T
EARTH'S	"E`:Ts
EARTH-LIKE	"E`:T%laIk
EARTHA	"E`:T@
EARTHBOUND	"E`:T%baUnd
EARTHEN	"E`:T@n
EARTHENWARE	"E`:T@n%wEr
EARTHLING	"E`:TlIN
EARTHLINGS	"E`:TlINz
EARTHLY	"E`:Tli
EARTHMOVING	"E`:T%mu:vIN
EARTHQUAKE	"E`:T%kweIk
EARTHQUAKE'S	"E`:T%kweIks
EARTHQUAKES	"E`:T%kweIks
EARTHS	"E`:Ts
EARTHSHAKING	"E`:T%SeIkIN
EARTHSHINE	"E`:T%SaIn
EARTHSTAR	"E`:T%stA:r
EARTHWORK	"E`:T%wE`:k
EARTHWORM	"E`:T%wE`:m
EARTHWORMS	"E`:T%wE`:mz
EARTHY	"E`:Ti
EARVIN	"E`:vIn
EARWAX	"Ir%w{ks, "i:r%w{ks
EARWOOD	"Ir%wUd, "i:r%wUd
EARY	"Iri
EASCO	"i:skoU
EASE	"i:z
EASED	"i:zd
EASEL	"i:z@l
EASEMENT	"i:zm@nt
EASES	"i:zIz
EASH	"i:S
EASIB	"i:sIb
EASIER	"i:zi:E`
EASIEST	"i:zi:@st
EASILY	"i:z@li
EASING	"i:zIN
EASLER	"i:zlE`
EASLEY	"i:zli
EASOM	"i:z@m
EASON	"i:z@n
EAST	"i:st
EAST'S	"i:sts
EASTBOUND	"i:st%baUnd
EASTBURN	"i:st%bE`:n
EASTDIL	"i:st%dIl
EASTEND	"i:%stEnd
EASTENDER	"i:%stEndE`
EASTENDERS	"i:%stEndE`z
EASTEP	"i:ztIp
EASTER	"i:stE`
EASTERBROOK	"i:stE`%brUk
EASTERDAY	"i:stE`%deI
EASTERLIN	@z"tE`:lIn, "i:stE`lIn
EASTERLING	"i:stE`lIN
EASTERLY	"i:stE`li
EASTERN	"i:stE`n
EASTERN'S	"i:stE`nz
EASTERN-WEST	"i:stE`n"wEst
EASTERNER	"i:stE`nE`
EASTERNERS	"i:stE`nE`z
EASTERWOOD	"i:stE`%wUd
EASTES	"i:sts
EASTGROUP	"i:st%gru:p
EASTHAM	"i:st@m
EASTIN	"i:ztIn
EASTLAND	"i:stl@nd, "i:stl{nd, "i:sl@nd, "i:sl{nd
EASTLAND'S	"i:stl@ndz, "i:stl{ndz, "i:sl@ndz, "i:sl{ndz
EASTLICK	"i:st%lIk
EASTMAN	"i:stm@n
EASTMET	"i:st%mEt
EASTMET'S	"i:st%mEts
EASTON	"i:st@n
EASTOVER	"i:%stoUvE`
EASTPAC	"i:st%p{k
EASTPAC'S	"i:st%p{ks
EASTRIDGE	"i:%strIdZ
EASTWARD	"i:stwE`d
EASTWICK	"i:s%twIk
EASTWIND	"i:stwInd
EASTWOOD	"i:s%twUd
EASTWOOD'S	"i:s%twUdz
EASUDES	%eI"su:deIs
EASY	"i:zi
EASY'S	"i:zi:z
EASYGOING	"i:zi:"goUIN
EAT	"i:t
EATABLE	"i:t@b@l
EATEN	"i:t@n
EATER	"i:tE`
EATERIES	"i:tE`i:z
EATERS	"i:tE`z
EATERY	"i:tE`i
EATHERLY	"EDE`li
EATHERTON	E"TE`:t@n, %i:"TE`:t@n
EATING	"i:tIN
EATMAN	"i:tm@n
EATMON	"i:tm@n
EATON	"i:t@n
EATON'S	"i:t@nz
EATS	"i:ts
EAU	"oU
EAU-CLAIRE	"oU"klEr
EAUX	"oU, "oUz
EAVE	"i:v
EAVENSON	"i:vIns@n
EAVES	"i:vz
EAVESDROP	"i:vz%drA:p
EAVESDROPPING	"i:vz%drA:pIN
EB	"Eb
EBA	"i:b@
EBAN	"Eb@n, "i:b@n
EBANKS	"Eb@Nks
EBANO	E"bA:noU, "i:b@noU
EBARB	"EbA:rb
EBASCO	E"b{skoU
EBAUGH	"EbO
EBAY	"i:%beI
EBAY'S	"i:%beIz
EBB	"Eb
EBBA	"Eb@
EBBED	"Eb@d
EBBEN	"Eb@n
EBBERS	"EbE`z
EBBERT	"EbE`t
EBBING	"EbIN
EBBS	"Ebz
EBBY	"Ebi
EBEL	"Eb@l
EBELING	"Eb@lIN
EBEN	"Eb@n
EBENEEZER	"Eb@%ni:zE`
EBENEZER	%EbI"ni:zE`
EBER	"EbE`
EBERHARD	"EbE`hA:rt
EBERHARDT	"EbE`%hA:rt
EBERHART	"EbE`%hA:rt
EBERL	"EbE`l
EBERLE	"EbE`@l
EBERLEIN	"EbE`%laIn
EBERLIN	"EbE`lIn
EBERLING	"EbE`lIN
EBERLY	"EbE`li
EBERS	"EbE`z
EBERSOL	"EbE`sA:l
EBERSOLD	"EbE`%soUld
EBERSOLE	"EbE`%soUl
EBERSTADT	"EbE`%st{t
EBERT	"EbE`t
EBERTS	"EbE`ts
EBERWEIN	"EbE`%waIn
EBEY	"Ebi
EBINGER	"EbINE`
EBLE	"Eb@l
EBLEN	"Eb@l@n
EBLIN	"EblIn
EBLING	"Eb@lIN, "EblIN
EBNER	"EbnE`
EBOLA	i:"boUl@
EBONIC	i:"bOnIk
EBONICS	i:"bOnIks
EBONY	"Eb@ni
EBRIGHT	%I"braIt
EBRO	"i:%broU
EBRON	"Ebr@n
EBULLIENCE	%I"bUlj@ns
EBULLIENT	%I"bVlj@nt
EBY	"i:bi
ECAD	"i:%k{d
ECCENTRIC	%Ek"sEntrIk
ECCENTRICITIES	%EksEn"trIsIti:z
ECCENTRICITY	%Eks@n"trIs@ti
ECCENTRICS	%Ek"sEntrIks
ECCLES	"Ek@lz
ECCLESIASTIC	%E%kli:zi:"{stIk
ECCLESIASTICAL	%E%kli:zi:"{stIk@l
ECCLESTON	"Ek@lstA:n
ECEVIT	"Es@vIt
ECHARD	"EtSE`d
ECHAVARRIA	%EtS@"v{ri:@
ECHELON	"ES@%lA:n
ECHELONS	"ES@%lA:nz
ECHEMENDE	%Ek@"mEnd
ECHENBERG	"Ek@nbE`g
ECHEVARRIA	%EtSeI"vA:%ri:@
ECHEVERRIA	%EtSeI"vE%ri:@
